theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,5,CVQ,semantic,last,0.57,,0.47,0.66,,100,,0,0.57,"{""correct"": 57, ""intermediate_intrusion"": 40, ""primacy_intrusion"": 3}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,5,FVQ,semantic,first,0.99,,0.97,1.0,,100,,0,0.99,"{""correct"": 99, ""intermediate_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,7,CVQ,semantic,last,0.46,,0.3698,0.56,,100,,0,0.46,"{""correct"": 46, ""intermediate_intrusion"": 52, ""primacy_intrusion"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,7,FVQ,semantic,first,0.97,,0.94,1.0,,100,,2,0.9898,"{""correct"": 97, ""garbage"": 2, ""intermediate_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,CVQ,semantic,last,0.36,,0.26,0.46,,100,,1,0.3636,"{""correct"": 36, ""garbage"": 1, ""intermediate_intrusion"": 62, ""primacy_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,FVQ,semantic,first,0.97,,0.93,1.0,,100,,1,0.9798,"{""correct"": 97, ""garbage"": 1, ""intermediate_intrusion"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,15,CVQ,semantic,last,0.35,,0.26,0.45,,100,,2,0.3571,"{""correct"": 35, ""garbage"": 2, ""intermediate_intrusion"": 60, ""primacy_intrusion"": 3}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,15,FVQ,semantic,first,0.96,,0.92,0.99,,100,,0,0.96,"{""correct"": 96, ""intermediate_intrusion"": 4}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,20,CVQ,semantic,last,0.29,,0.2,0.38,,100,,1,0.2929,"{""correct"": 29, ""garbage"": 1, ""intermediate_intrusion"": 70}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
01_fvq_cvq,Qwen2.5-1.5B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,20,FVQ,semantic,first,0.98,,0.95,1.0,,100,,2,1.0,"{""correct"": 98, ""garbage"": 2}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-1.5B-Instruct/stage1_sweep_20260408_231134.json,
