theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,2,30,FVQ,ordinal,first,1.0,,,,,100,,,,,,,raw,lora_intervention/experiments/gemma_results/block/results_K2N30.json,behavioural accuracy only; per-layer P(v_last) / P(v_first) curves remain in the source file
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,2,30,FVQ,ordinal,1,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K2N30; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,2,30,CVQ,ordinal,30,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K2N30; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,2,30,CVQ,ordinal,last,0.92,,,,,100,,,,,,,raw,lora_intervention/experiments/gemma_results/block/results_K2N30.json,behavioural accuracy only; per-layer P(v_last) / P(v_first) curves remain in the source file
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,FVQ,ordinal,1,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,2,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,3,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,4,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,5,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,6,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,7,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,8,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,9,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,10,0.96875,,0.9132209307514648,1.0,0.05552906924853514,64,62,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,11,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,12,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,13,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
03_prompt_format,gemma-3-4b-it,Gemma-3,False,base,arbitrary_single,block,5,20,IVQ,ordinal,14,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/gemma_results/behavioral/results.json,cell K5N20; condition key base_block
