theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,FVQ,ordinal,1,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,IVQ,ordinal,2,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,IVQ,ordinal,3,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,IVQ,ordinal,4,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,IVQ,ordinal,5,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,IVQ,ordinal,6,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,IVQ,ordinal,7,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,IVQ,ordinal,8,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,IVQ,ordinal,9,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,CVQ,ordinal,10,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,10,CVQ,semantic,last,1.0,,1.0,1.0,0.0495,50,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,FVQ,ordinal,1,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,2,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,3,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,4,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,5,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,6,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,7,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,8,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,10,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,11,0.9839,,0.9516,1.0,0.0497,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,13,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,14,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,16,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,17,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,IVQ,ordinal,19,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,CVQ,ordinal,20,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
03_prompt_format,gpt-4.1,GPT-4.1,True,base,semantic_multi,block,5,20,CVQ,semantic,last,1.0,,1.0,1.0,0.0407,62,,,,,,,raw,experiments_cloud/results/ucurve_proprietary_results.csv,upstream source_file: experiments_cloud/results/ucurve_proprietary/gpt-4.1/ucurve_20260520_110812.json
