model,model_family,regime,num_keys,num_updates,unit,layer,head,base,lora,delta,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,30,11,0.19,0.781,0.59,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,31,1,0.043,0.601,0.56,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,31,8,0.116,0.698,0.58,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,31,12,0.166,0.814,0.65,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,31,15,0.233,0.863,0.63,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,32,0,0.085,0.675,0.59,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,32,1,0.064,0.604,0.54,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,32,3,0.108,0.789,0.68,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,32,7,0.126,0.777,0.65,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,32,9,0.053,0.631,0.58,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,32,10,0.063,0.669,0.61,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,32,12,0.072,0.602,0.53,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,32,14,0.077,0.661,0.58,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,33,8,0.076,0.65,0.57,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,head,33,11,0.073,0.606,0.53,derived,lora_intervention/results/attention_routing_comparison.txt,top mover head (promoter); P(attend to v_last round)
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,0,,0.101,0.107,0.006,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,5,,0.056,0.045,-0.011,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,10,,0.139,0.158,0.019,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,15,,0.155,0.231,0.076,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,20,,0.019,0.089,0.07,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,23,,0.079,0.249,0.17,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,24,,0.112,0.394,0.282,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,26,,0.157,0.381,0.224,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,28,,0.14,0.422,0.283,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,29,,0.089,0.398,0.309,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,30,,0.093,0.414,0.321,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,31,,0.102,0.495,0.394,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,32,,0.055,0.442,0.386,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,33,,0.068,0.529,0.461,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,34,,0.012,0.018,0.006,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,primacy,2,30,layer_mean,35,,0.028,0.041,0.013,derived,lora_intervention/results/attention_routing_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,reversal,15,20,layer_mean,0,,0.176,0.177,0.001,derived,lora_intervention/results/attention_routing_reversal_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,reversal,15,20,layer_mean,4,,0.149,0.148,-0.001,derived,lora_intervention/results/attention_routing_reversal_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,reversal,15,20,layer_mean,8,,0.063,0.055,-0.008,derived,lora_intervention/results/attention_routing_reversal_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,reversal,15,20,layer_mean,12,,0.129,0.142,0.013,derived,lora_intervention/results/attention_routing_reversal_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,reversal,15,20,layer_mean,16,,0.206,0.338,0.132,derived,lora_intervention/results/attention_routing_reversal_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
Qwen2.5-3B-Instruct,Qwen2.5,reversal,15,20,layer_mean,20,,0.047,0.135,0.088,derived,lora_intervention/results/attention_routing_reversal_comparison.txt,"head-averaged P(attend to v_last round), CVQ condition; raw per-head JSON not local"
