model,model_family,variant,condition_set,num_keys,num_updates,layer,p_last_normal,p_last_ablated,delta,n_heads_ablated,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,lora,clean5,2,5,0,0.0,0.0,0.0,5,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-LoRA-clean5/stage3_causal_20260525_071300.json,"stage3 3C; heads=L26H3,L27H3,L30H3..."
Qwen2.5-3B-Instruct,Qwen2.5,lora,clean5,2,5,1,0.0,0.0,0.0,5,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-LoRA-clean5/stage3_causal_20260525_071300.json,"stage3 3C; heads=L26H3,L27H3,L30H3..."
Qwen2.5-3B-Instruct,Qwen2.5,lora,clean5,2,5,2,0.0,0.0,0.0,5,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-LoRA-clean5/stage3_causal_20260525_071300.json,"stage3 3C; heads=L26H3,L27H3,L30H3..."
Qwen2.5-3B-Instruct,Qwen2.5,lora,clean5,2,5,3,0.0,0.0,0.0,5,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-LoRA-clean5/stage3_causal_20260525_071300.json,"stage3 3C; heads=L26H3,L27H3,L30H3..."
Qwen2.5-3B-Instruct,Qwen2.5,lora,clean5,2,5,4,0.0,0.0,0.0,5,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-LoRA-clean5/stage3_causal_20260525_071300.json,"stage3 3C; heads=L26H3,L27H3,L30H3..."
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters,2,5,0,0.0,0.0,0.0,8,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-baseline-promoters/stage3_causal_20260525_122807.json,"stage3 3C; heads=L32H3,L32H7,L31H12..."
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters,2,5,1,0.0,0.0,0.0,8,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-baseline-promoters/stage3_causal_20260525_122807.json,"stage3 3C; heads=L32H3,L32H7,L31H12..."
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters,2,5,2,0.0,0.0,0.0,8,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-baseline-promoters/stage3_causal_20260525_122807.json,"stage3 3C; heads=L32H3,L32H7,L31H12..."
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters,2,5,3,0.0,0.0,0.0,8,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-baseline-promoters/stage3_causal_20260525_122807.json,"stage3 3C; heads=L32H3,L32H7,L31H12..."
Qwen2.5-3B-Instruct,Qwen2.5,base,promoters,2,5,4,0.0,0.0,0.0,8,raw,v3/scripts/experiments/results/Qwen2.5-3B-Instruct-baseline-promoters/stage3_causal_20260525_122807.json,"stage3 3C; heads=L32H3,L32H7,L31H12..."
