arm,model,variant,num_keys,num_updates,condition,query_type,subset,layer,rel_depth,entropy_nats,entropy_norm,n_trials,provenance_tier,source_file
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,1,0.083333,2.1575340906778973,0.5487359542907708,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,2,0.166667,2.174938138326009,0.5531624088881619,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,3,0.25,2.155928316116333,0.5483275499739062,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,4,0.333333,2.138109664916992,0.5437956472742954,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,5,0.416667,2.1758553743362428,0.5533956939053306,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,6,0.5,2.1455071194966635,0.5456770772436472,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,7,0.583333,1.327282781203588,0.3375741716918215,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,8,0.666667,2.318291635513306,0.5896221887914654,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,9,0.75,2.364585512479146,0.6013963317189996,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,10,0.833333,2.62009472211202,0.6663812098647366,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,11,0.916667,2.6394362592697145,0.6713004354267038,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,all,12,1.0,0.001301854772803684,0.00033110694481678737,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,1,0.083333,2.1575340906778973,0.5487359542907708,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,2,0.166667,2.174938138326009,0.5531624088881619,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,3,0.25,2.155928316116333,0.5483275499739062,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,4,0.333333,2.138109664916992,0.5437956472742954,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,5,0.416667,2.1758553743362428,0.5533956939053306,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,6,0.5,2.1455071194966635,0.5456770772436472,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,7,0.583333,1.327282781203588,0.3375741716918215,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,8,0.666667,2.318291635513306,0.5896221887914654,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,9,0.75,2.364585512479146,0.6013963317189996,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,10,0.833333,2.62009472211202,0.6663812098647366,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,11,0.916667,2.6394362592697145,0.6713004354267038,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,FVQ,ordinal,correct,12,1.0,0.001301854772803684,0.00033110694481678737,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,CVQ,ordinal,all,1,0.083333,2.1177152506510417,0.5386086384465876,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,CVQ,ordinal,all,2,0.166667,2.1860750031471254,0.5559949009316606,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
scratch,gpt2-small,scratch_cosine,2,4,CVQ,ordinal,all,3,0.25,2.1835299158096313,0.555347596708322,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json
