arm,model,variant,num_keys,num_updates,condition,query_type,subset,layer,rel_depth,entropy_nats,entropy_norm,n_trials,provenance_tier,source_file
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,1,0.027778,6.837887630462647,0.5731090946029066,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,2,0.055556,4.5174363279342655,0.37862333863089787,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,3,0.083333,5.9363591035207115,0.49754859613366986,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,4,0.111111,6.355996961593628,0.532720024197193,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,5,0.138889,6.106847696304321,0.511837886676417,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,6,0.166667,6.488751344680786,0.5438466686241505,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,7,0.194444,6.569269876480103,0.550595229781062,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,8,0.222222,6.102507937749227,0.5114741551805642,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,9,0.25,5.96499002456665,0.4999482613702245,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,10,0.277778,6.531857751210531,0.5474595787731548,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,11,0.305556,7.226546681722005,0.6056840722881428,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,12,0.333333,6.748243999481201,0.5655957245440284,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,13,0.361111,7.321510960261027,0.6136433858414477,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,14,0.388889,7.713835048675537,0.6465255440829014,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,15,0.416667,7.916416470209757,0.6635046553747601,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,16,0.444444,8.414696973164876,0.7052674194533457,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,17,0.472222,8.799755001068116,0.7375405818197578,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,18,0.5,8.263657099405924,0.6926081992413461,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,19,0.527778,8.282944774627685,0.6942247718849348,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,20,0.555556,7.409418134689331,0.6210112169419859,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,21,0.583333,7.849498087565104,0.6578959738984933,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,22,0.611111,6.233209943771362,0.52242878216221,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,23,0.638889,7.763959760665894,0.6507266848238008,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,24,0.666667,6.979819138844808,0.5850049084361357,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,all,25,0.694444,6.45242254892985,0.5408018155399793,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json
