arm,model,variant,num_keys,num_updates,condition,query_type,subset,layer,rel_depth,entropy_nats,entropy_norm,n_trials,provenance_tier,source_file
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,1,0.027778,6.906439371109009,0.5788546739599387,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,2,0.055556,3.9398876889546712,0.3302168137707722,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,3,0.083333,5.871052443186442,0.4920749991694598,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,4,0.111111,6.1639818064371745,0.5166265114533595,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,5,0.138889,6.210205965042114,0.5205007321364901,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,6,0.166667,6.21123706817627,0.5205871527704042,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,7,0.194444,6.39787093480428,0.5362296394718391,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,8,0.222222,6.198085600535075,0.5194848787758789,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,9,0.25,5.879256474177042,0.49276260988013754,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,10,0.277778,6.361997474034627,0.5332229497259626,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,11,0.305556,7.199562196731567,0.603422401053258,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,12,0.333333,5.916064052581787,0.49584759154027636,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,13,0.361111,6.955166390736898,0.5829386688441525,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,14,0.388889,7.736901048024495,0.6484587922901552,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,15,0.416667,7.476427437464396,0.6266275187765323,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,16,0.444444,8.348612003326416,0.6997285894406593,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,all,17,0.472222,8.77148338953654,0.7351710316657538,150,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json
