arm,model,model_family,variant,n_layers,vocab,condition,query_type,behavioral_accuracy,n_trials,output_entropy,peak_entropy,peak_depth,expansion_amplitude,pruning_drop,H_out_correct,H_out_wrong,confusion_gap,n_wrong,provenance_tier,source_file,notes
base,Qwen2.5-3B-Instruct,Qwen2.5,base,36,151936,FVQ,semantic,0.726889,4500,0.023065061022281452,0.755142201625361,0.8888888888888888,0.16828947002157846,0.7320771406030796,0.013502420081134883,0.04851615827084973,0.035013738189714844,1229,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
base,Qwen2.5-3B-Instruct,Qwen2.5,base,36,151936,CVQ,semantic,0.206222,4500,0.05165199824271633,0.7839532505978729,0.8888888888888888,0.19752054930933838,0.7323012523551565,0.040471165545878506,0.054556761048613726,0.014085595502735221,3572,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
base,Qwen2.5-3B-Instruct,Qwen2.5,base,36,151936,IVQ_d25,ordinal,0.307333,4500,0.04261244765758899,0.7716036342534138,0.8888888888888888,0.18338570311445146,0.7289911865958248,0.03632611206396444,0.045401668743884384,0.009075556679919945,3117,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
base,Qwen2.5-3B-Instruct,Qwen2.5,base,36,151936,IVQ_d50,ordinal,0.179111,4500,0.05083691253649451,0.7796348223935824,0.8888888888888888,0.19140528310156302,0.7287979098570879,0.04313673379839574,0.052517027334249684,0.009380293535853942,3694,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
base,Qwen2.5-3B-Instruct,Qwen2.5,base,36,151936,IVQ_d75,ordinal,0.098222,4500,0.05843185297882307,0.7847128535339124,0.8888888888888888,0.19671471510734362,0.7262810005550894,0.05390257851363326,0.05892518450016707,0.005022605986533812,4058,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
lora,Qwen2.5-3B-Instruct,Qwen2.5,lora,36,151936,FVQ,semantic,0.998222,4500,0.002082674606724724,0.7591009725695473,0.8888888888888888,0.17276687605989116,0.7570182979628226,0.0019977156098586776,0.0497871513470096,0.04778943573715093,8,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
lora,Qwen2.5-3B-Instruct,Qwen2.5,lora,36,151936,CVQ,semantic,0.999778,4500,0.0020020559674787373,0.7712463297610552,0.8888888888888888,0.18502887184798422,0.7692442737935765,0.0019892336065116334,0.059689857958479885,0.05770062435196825,1,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
lora,Qwen2.5-3B-Instruct,Qwen2.5,lora,36,151936,IVQ_d25,ordinal,0.996889,4500,0.0029777561725824737,0.7554839288049177,0.6388888888888888,0.16916632824876843,0.7525061726323352,0.0027966861841476915,0.060997753895327564,0.058201067711179874,14,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
lora,Qwen2.5-3B-Instruct,Qwen2.5,lora,36,151936,IVQ_d50,ordinal,0.926444,4500,0.014459558016408485,0.7545789396987078,0.6388888888888888,0.16808166307864603,0.7401193816822993,0.011622720024331063,0.05019000390453769,0.03856728388020663,331,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
lora,Qwen2.5-3B-Instruct,Qwen2.5,lora,36,151936,IVQ_d75,ordinal,0.809111,4500,0.030467736866481254,0.7658999134840925,0.8888888888888888,0.17966391263703885,0.7354321766176112,0.022542918631586695,0.06405826444884573,0.04151534581725903,859,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
scratch,gpt2-small,GPT-2,scratch_cosine,12,51,FVQ,ordinal,0.896,4500,0.07020293193497658,0.6168342502937336,0.8333333333333334,0.05264454524201423,0.546631318358757,0.019658340312309668,0.5056640289917992,0.4860056886794895,468,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
scratch,gpt2-small,GPT-2,scratch_cosine,12,51,CVQ,ordinal,0.831778,4500,0.11488640301846959,0.5664180928547303,0.75,0.007122117326124222,0.45153168983626074,0.05208329866693472,0.4254174724871551,0.3733341738202204,757,raw,lora_intervention/experiments/entropy_lens/results/entropy_summary.json,geometry scalars from entropy_summary.json; behavioural + confusion pooled over the 30 cells
