model,model_family,variant,dataset,num_keys,num_updates,condition,target,layer,p_target,behavioral_acc,ci_lower,ci_upper,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,5,CVQ,v_last,32,0.34,,0.252,0.431,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,5,CVQ,v_last,33,0.506,,0.416,0.598,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,5,CVQ,v_last,34,0.395,,0.304,0.492,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,5,CVQ,v_last,35,0.249,,0.167,0.332,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,5,FVQ,v_first,32,0.532,,0.444,0.619,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,5,FVQ,v_first,33,0.629,,0.539,0.722,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,5,FVQ,v_first,34,0.509,,0.417,0.605,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,5,FVQ,v_first,35,0.403,,0.31,0.5,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,10,CVQ,v_last,32,0.207,,0.132,0.285,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,10,CVQ,v_last,33,0.313,,0.232,0.399,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,10,CVQ,v_last,34,0.25,,0.17,0.331,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,10,CVQ,v_last,35,0.228,,0.152,0.31,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,10,FVQ,v_first,32,0.438,,0.351,0.531,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,10,FVQ,v_first,33,0.681,,0.592,0.764,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,10,FVQ,v_first,34,0.474,,0.382,0.566,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,10,FVQ,v_first,35,0.355,,0.265,0.45,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,50,CVQ,v_last,32,0.021,,0.0,0.052,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,50,CVQ,v_last,33,0.088,,0.04,0.144,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,50,CVQ,v_last,34,0.07,,0.027,0.122,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,50,CVQ,v_last,35,0.106,,0.053,0.166,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,50,FVQ,v_first,32,0.394,,0.307,0.483,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,50,FVQ,v_first,33,0.708,,0.617,0.792,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
Qwen2.5-3B-Instruct,Qwen2.5,base,arbitrary_single,2,50,FVQ,v_first,34,0.538,,0.449,0.631,derived,lora_intervention/results/ci_analysis.txt,from precomputed bootstrap CIs; raw Qwen logit-lens JSON not local
