model,model_family,variant,num_keys,num_updates,probe,layer,accuracy,std,ci_lower,ci_upper,behavioral_acc,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,CVQ_correct,27,0.533,,0.434,0.632,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,CVQ_correct,30,0.567,,0.495,0.638,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,CVQ_correct,31,0.683,,0.629,0.738,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,CVQ_correct,32,0.65,,0.578,0.722,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,CVQ_correct,33,0.583,,0.437,0.729,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,CVQ_correct,34,0.583,,0.437,0.729,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,CVQ_correct,35,0.583,,0.404,0.762,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,FVQ_correct,27,0.591,,0.544,0.639,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,FVQ_correct,30,0.768,,0.703,0.834,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,FVQ_correct,31,0.844,,0.784,0.903,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,FVQ_correct,32,0.838,,0.786,0.891,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,FVQ_correct,33,0.806,,0.739,0.873,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,FVQ_correct,34,0.822,,0.773,0.872,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,FVQ_correct,35,0.822,,0.778,0.867,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,cond_discrimination,27,1.0,,1.0,1.0,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,cond_discrimination,30,1.0,,1.0,1.0,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,cond_discrimination,31,1.0,,1.0,1.0,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,cond_discrimination,32,1.0,,1.0,1.0,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,cond_discrimination,33,0.997,,0.993,1.002,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,cond_discrimination,34,0.988,,0.975,1.0,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,base,2,5,cond_discrimination,35,0.99,,0.982,0.998,,derived,lora_intervention/results/ci_analysis.txt,precomputed bootstrap CIs (absolute layer index)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,0,0.5333,0.0408,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,1,0.5,0.068,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,2,0.4944,0.0111,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,3,0.5167,0.0515,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,4,0.5222,0.0478,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,5,0.5167,0.0572,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,6,0.4944,0.0509,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,7,0.4778,0.0408,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,8,0.4611,0.0624,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,9,0.45,0.0539,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,10,0.4833,0.0283,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,11,0.4833,0.0572,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,12,0.4944,0.0539,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
Qwen2.5-3B-Instruct,Qwen2.5,lora,2,5,CVQ_correct,13,0.5167,0.0572,,,,raw,v3/results_vllm/probing/probing_Qwen2.5-3B-Instruct-LoRA_2k_5u.json,8 late layers indexed 0-7 (absolute layer in ci_analysis)
