model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,0,0.0,0.027200000000000002,0.0009797958971132722,23.664799999999996,0.10414627361714501,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,1,0.027778,0.029599999999999998,0.0014966629547095763,22.961599999999997,0.11063511549036223,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,2,0.055556,0.0304,0.006118823416311343,23.249999999999996,0.10724429004325202,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,3,0.083333,0.0304,0.009068627239003707,23.2284,0.10691916176002922,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,4,0.111111,0.03,0.004898979485566356,23.3736,0.10501609463203518,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,5,0.138889,0.028399999999999998,0.0014966629547095765,23.8188,0.10458814364059418,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,6,0.166667,0.027999999999999997,0.004560701700396553,23.5688,0.10494423020586781,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,7,0.194444,0.027599999999999996,0.0036660605559646724,23.6736,0.10436956569698681,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,8,0.222222,0.027999999999999997,0.00938083151964686,23.5808,0.10443843875500969,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,9,0.25,0.0264,0.004270831300812524,23.495199999999997,0.10476175594802298,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
