model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,n_probe,chance,best_layer,best_top1,best_rel_depth,mean_top1,behavioral_acc,estimable,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,all,expected,0.1,2500,0.02,32,0.7575999999999999,0.888889,0.21762162162162166,0.698,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,semantic,FVQ,1,all,expected,0.1,2500,0.02,32,0.78,0.888889,0.2249081081081081,0.722,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,IVQ,ordinal,k2,2,all,expected,0.1,2200,0.02,29,0.36136363636363633,0.805556,0.10223587223587223,0.32727272727272727,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,IVQ,ordinal,k3,3,all,expected,0.1,2000,0.02,34,0.2415,0.944444,0.061432432432432425,0.2095,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,IVQ,ordinal,k4,4,all,expected,0.1,1700,0.02,36,0.16647058823529412,1.0,0.04181240063593005,0.09352941176470589,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,CVQ,ordinal,k5,5,all,expected,0.1,1900,0.02,36,0.1994736842105263,1.0,0.05349928876244665,0.08105263157894736,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,CVQ,semantic,CVQ,5,all,expected,0.1,1900,0.02,33,0.7200000000000001,0.916667,0.15524893314366997,0.6736842105263158,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,1745,0.02,34,0.9558739255014327,0.944444,0.2466506621234415,0.698,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,FVQ,semantic,FVQ,1,correct,expected,0.1,1805,0.02,35,0.9590027700831024,0.972222,0.2556562102268473,0.722,True,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,10,5,IVQ,ordinal,k2,2,correct,expected,0.1,720,0.02,,,,,0.32727272727272727,False,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/probe_fits_ref.json,37/37 layers not estimable (class support < folds)
