model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,query_word,n_trials,accuracy_single_token,accuracy_generate,scoring_agreement,n_generate,n_wrong,wrong_frac,topped_up_from,exact,wrong_slot_same_key,other_key_value,off_pool,multi_word,empty,provenance_tier,source_file
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,1st,5315,0.7119005328596802,0.7875,0.975,80,1518,0.28809946714031975,2500,3797,1231,22,265,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,semantic,FVQ,1,first,6152,0.7423329682365827,0.8,0.9625,80,1577,0.2576670317634173,2500,4575,1236,21,320,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k2,2,2nd,1800,0.2644444444444444,0.15,1.0,40,1324,0.7355555555555555,,476,1320,1,3,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k3,3,3rd,1680,0.2875,0.325,1.0,40,1268,0.7125,1600,412,1234,28,6,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k4,4,4th,1600,0.144375,0.225,1.0,40,1369,0.855625,,231,1351,14,4,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k5,5,5th,1450,0.09310344827586207,0.025,1.0,40,1315,0.906896551724138,,135,1297,15,3,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k6,6,6th,1400,0.04857142857142857,0.025,1.0,40,1332,0.9514285714285714,,68,1329,0,3,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k7,7,7th,1400,0.02142857142857143,0.025,1.0,40,1370,0.9785714285714285,,30,1367,0,3,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k8,8,8th,1400,0.024285714285714285,0.0,1.0,40,1366,0.9757142857142858,,34,1366,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,IVQ,ordinal,k9,9,9th,1400,0.025,0.0,1.0,40,1365,0.975,,35,1360,0,5,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/manifest.json
