model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,0,0.0,0.0284091211806388,2.930285836063862e-05,22.754059777831053,0.10948841594061287,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,1,0.029412,0.025311009883054958,0.007908626927582674,24.569838035110156,0.09639510211004187,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,2,0.058824,0.03202669224007033,0.010158688842057902,23.07698793255015,0.11112868124334144,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,3,0.088235,0.026862729428061484,0.004214233294836824,23.186691174511843,0.1083230294277191,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,4,0.117647,0.02582780574868803,0.005425965556418778,23.59875596046778,0.10406700420445492,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,5,0.147059,0.027379525293694557,0.00603872780138279,23.045640533844804,0.10912536596207514,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,6,0.176471,0.030990436612589572,0.0036421988870714095,22.58190814885852,0.11328876349091015,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,7,0.205882,0.04598151256027065,0.012722134681612233,21.243574682330376,0.13307472134708948,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,8,0.235294,0.03719331894829377,0.006673395521824499,21.572023761954235,0.12301121610753318,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,9,0.264706,0.04029276219398492,0.00962511488115425,21.288166973014732,0.1306336355307118,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,10,0.294118,0.037710114813926846,0.004815027594778075,21.565578465063002,0.12416706319449948,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,11,0.323529,0.034612003516343,0.005086671980228079,21.622902847705053,0.12196929067649079,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,12,0.352941,0.03512746743386878,0.007951611506842364,21.806715682357016,0.12149480228303897,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,13,0.382353,0.052177735155438346,0.01218852198395888,19.829417405897864,0.14765974592374975,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,14,0.411765,0.0547537227949599,0.011723741565953022,19.168897679746397,0.15347199219407184,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
gemma-3-4b-it,Gemma-3,base,10,5,IVQ,ordinal,k2,2,wrong,cv_first,0.1,15,0.441176,0.06663869575641333,0.011282372877953108,17.39371453688164,0.17603945991074338,5,False,1936,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_wrong.json,
