model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,query_word,n_trials,accuracy_single_token,accuracy_generate,scoring_agreement,n_generate,n_wrong,wrong_frac,topped_up_from,exact,wrong_slot_same_key,other_key_value,off_pool,multi_word,empty,provenance_tier,source_file
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,1st,2500,0.9916,1.0,1.0,40,21,0.008399999999999963,,2479,10,10,1,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,semantic,FVQ,1,first,2500,0.9912,1.0,1.0,40,22,0.00880000000000003,,2478,13,9,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k2,2,2nd,2700,0.43,0.425,1.0,40,1539,0.5700000000000001,,1161,1536,3,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k3,3,3rd,2600,0.008076923076923077,0.0,1.0,40,2579,0.9919230769230769,,21,2579,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k4,4,4th,2600,0.0007692307692307692,0.0,1.0,40,2598,0.9992307692307693,,2,2598,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k5,5,5th,1300,0.002307692307692308,0.0,1.0,40,1297,0.9976923076923077,,3,1297,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k6,6,6th,1350,0.0,0.0,1.0,40,1350,1.0,,0,1350,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k7,7,7th,1350,0.013333333333333334,0.0,1.0,40,1332,0.9866666666666667,,18,1332,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k8,8,8th,1350,0.017037037037037038,0.025,1.0,40,1327,0.9829629629629629,,23,1327,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k9,9,9th,1350,0.025185185185185185,0.025,1.0,40,1316,0.9748148148148148,,34,1316,0,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,CVQ,ordinal,k10,10,10th,1411,0.09836065573770492,0.075,1.0,80,1252,0.9016393442622951,1350,159,1251,0,1,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
gemma-3-4b-it,Gemma-3,base,5,10,CVQ,semantic,CVQ,10,last,8648,0.8526365348399246,0.8875,1.0,80,1262,0.14736346516007537,4400,7386,1215,47,0,0,0,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/manifest.json
