model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,0,0.0,0.0264,0.0008000000000000008,23.5192,0.10487629122543247,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,1,0.029412,0.024,0.0028284271247461905,24.1112,0.09793319153636984,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,2,0.058824,0.053200000000000004,0.005306599664568639,20.0828,0.1489649860969458,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,3,0.088235,0.0496,0.010910545357588685,20.5676,0.14337671093477683,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,4,0.117647,0.045200000000000004,0.0065238025721200375,20.89,0.1364144880445193,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,5,0.147059,0.0492,0.009516301802696256,20.482400000000002,0.14001397388345924,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,6,0.176471,0.059199999999999996,0.014005713120009276,20.0708,0.15044592113531757,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,7,0.205882,0.0708,0.010400000000000001,18.249599999999997,0.17148896886361445,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,8,0.235294,0.066,0.010807404868885036,18.82,0.1640656924626985,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,9,0.264706,0.0596,0.004630334761116092,19.36,0.15905922754057486,5,False,2500,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
