model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,n_probe,chance,best_layer,best_top1,best_rel_depth,mean_top1,behavioral_acc,estimable,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,2500,0.02,24,0.9944000000000001,0.705882,0.49945142857142866,0.9916,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,semantic,FVQ,1,all,expected,0.1,2500,0.02,24,0.9936,0.705882,0.49802285714285716,0.9912,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k2,2,all,expected,0.1,2700,0.02,30,0.6918518518518518,0.882353,0.3101481481481481,0.43,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k3,3,all,expected,0.1,2600,0.02,33,0.32999999999999996,0.970588,0.09972527472527473,0.008076923076923077,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k4,4,all,expected,0.1,2600,0.02,30,0.17807692307692308,0.882353,0.052120879120879114,0.0007692307692307692,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k5,5,all,expected,0.1,1300,0.02,33,0.10384615384615385,0.970588,0.03993406593406594,0.002307692307692308,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k6,6,all,expected,0.1,1350,0.02,34,0.0637037037037037,1.0,0.030052910052910053,0.0,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k7,7,all,expected,0.1,1350,0.02,32,0.08444444444444445,0.941176,0.035111111111111114,0.013333333333333334,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k8,8,all,expected,0.1,1350,0.02,30,0.09185185185185185,0.882353,0.037523809523809515,0.017037037037037038,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,IVQ,ordinal,k9,9,all,expected,0.1,1350,0.02,31,0.09999999999999999,0.911765,0.04074074074074074,0.025185185185185185,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,CVQ,ordinal,k10,10,all,expected,0.1,1411,0.02,31,0.26218830664361076,0.911765,0.09820314262085558,0.09836065573770492,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,CVQ,semantic,CVQ,10,all,expected,0.1,8648,0.02,32,0.9131602683899611,0.941176,0.42767941259488046,0.8526365348399246,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,2479,0.02,24,0.9983854675790159,0.705882,0.5001063864450962,0.9916,True,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_5k_10u/probe_fits_ref.json,
