model,model_family,num_keys,num_updates,pool_seed,pool_size,idx,value,provenance_tier,source_file
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,0,act,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,1,ally,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,2,bay,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,3,belief,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,4,blood,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,5,blur,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,6,bonus,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,7,camp,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,8,club,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,9,corner,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,10,craft,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,11,cult,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,12,enable,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,13,exist,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,14,fade,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,15,faith,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,16,fax,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,17,feed,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,18,find,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,19,forest,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,20,form,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,21,forum,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,22,gross,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,23,hid,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,24,hill,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,25,import,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,26,lace,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,27,launch,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
Qwen2.5-3B-Instruct,Qwen2.5,10,5,1234,50,28,maid,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_10k_5u/manifest.json
