model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,0,0.0,0.024082784571966137,0.0004608635452085009,24.15051740357479,0.09957447869287256,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,1,0.027778,0.036688617121354655,0.005013325529435268,20.846848541862652,0.12485620804584277,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,2,0.055556,0.04101599247412983,0.004061530224820865,20.20865475070555,0.13141689537511989,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,3,0.083333,0.04252116650987771,0.0020088576203257406,20.30667920978363,0.13081198197103588,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,4,0.111111,0.044778927563499535,0.002424101359684878,19.59134524929445,0.14084089160880983,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,5,0.138889,0.0517403574788335,0.002660796918858128,19.351081843838195,0.14757006909798182,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,6,0.166667,0.050235183443085606,0.005138852411570145,19.35653809971778,0.14812386137547146,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,7,0.194444,0.047224835371589835,0.0034896024442128692,19.663593603010348,0.1434243422531175,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,8,0.222222,0.04835371589840075,0.004554550681810047,19.953527751646284,0.14250915316192153,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,9,0.25,0.058889934148635935,0.005907927927792132,18.887488240827842,0.1587611709799636,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,10,0.277778,0.05380997177798683,0.005750030777022061,19.086171213546567,0.15302397522992833,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,11,0.305556,0.057196613358419565,0.006050022649412427,18.955785512699904,0.15783009389106994,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,12,0.333333,0.05851364063969897,0.008852899609421329,18.86810912511759,0.1603463242498513,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,13,0.361111,0.07187206020696144,0.005536759725140984,18.393038570084666,0.17276309805252338,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,14,0.388889,0.06284101599247413,0.0026872731621986265,18.630479774223897,0.16476383872049366,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,15,0.416667,0.06378174976481656,0.005433501064230915,18.72041392285983,0.16459166519178942,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,16,0.444444,0.06923800564440263,0.004669679641012552,18.465663217309498,0.16931637723893542,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,17,0.472222,0.0658513640639699,0.006435609172713856,18.18682972718721,0.17012223307631408,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,18,0.5,0.07074317968015051,0.002878091917361873,17.761994355597366,0.17571131722481015,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,19,0.527778,0.06999059266227657,0.009247944103438951,17.77873941674506,0.17595084095278452,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,20,0.555556,0.06923800564440263,0.006667937966761749,17.814111006585133,0.1740222781069018,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,21,0.583333,0.0656632173095014,0.009710997479257903,18.377046095954846,0.16784330445480994,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,22,0.611111,0.07563499529633114,0.005440012152323974,17.286547507055502,0.184881190840831,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,23,0.638889,0.34129821260583254,0.010243204206070522,7.520413922859831,0.4781463929354291,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,24,0.666667,0.3335841956726246,0.013164896093724118,7.5977422389463785,0.47166860498907487,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,25,0.694444,0.3783631232361242,0.0069741309474508455,6.513640639698965,0.5154926091688863,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,26,0.722222,0.43443085606773285,0.010397555506790664,5.124741298212606,0.5756814164923958,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,27,0.75,0.5087488240827845,0.007879733430431583,4.486547507055503,0.6332842820353356,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,all,expected,0.1,28,0.777778,0.7017873941674506,0.005799072439293471,2.864910630291628,0.7869153715000248,5,False,5315,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
