theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,6,IVQ,ordinal,5,1.0,,,,,500,500,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 5 of 6; chance 0.10; checkpoint step 28000; held-out column = (N=6, step=5) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,8,IVQ,ordinal,2,1.0,,,,,500,500,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 2 of 8; chance 0.10; checkpoint step 28000; held-out column = (N=8, step=2) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,8,IVQ,ordinal,6,0.188,,,,,500,94,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 6 of 8; chance 0.10; checkpoint step 28000; held-out column = (N=8, step=6) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,10,IVQ,ordinal,2,0.998,,,,,500,499,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 2 of 10; chance 0.10; checkpoint step 28000; held-out column = (N=10, step=2) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,10,IVQ,ordinal,4,0.988,,,,,500,494,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 4 of 10; chance 0.10; checkpoint step 28000; held-out column = (N=10, step=4) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,10,IVQ,ordinal,9,0.882,,,,,500,441,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 9 of 10; chance 0.10; checkpoint step 28000; held-out column = (N=10, step=9) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,12,IVQ,ordinal,4,0.996,,,,,500,498,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 4 of 12; chance 0.10; checkpoint step 28000; held-out column = (N=12, step=4) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,12,IVQ,ordinal,8,0.488,,,,,500,244,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 8 of 12; chance 0.10; checkpoint step 28000; held-out column = (N=12, step=8) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,4,6,IVQ,ordinal,5,0.924,,,,,500,462,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 5 of 6; chance 0.10; checkpoint step 28000; held-out column = (N=6, step=5) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,4,8,IVQ,ordinal,2,1.0,,,,,500,500,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 2 of 8; chance 0.10; checkpoint step 28000; held-out column = (N=8, step=2) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,4,8,IVQ,ordinal,6,0.768,,,,,500,384,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 6 of 8; chance 0.10; checkpoint step 28000; held-out column = (N=8, step=6) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,4,10,IVQ,ordinal,2,0.994,,,,,500,497,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 2 of 10; chance 0.10; checkpoint step 28000; held-out column = (N=10, step=2) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,4,10,IVQ,ordinal,4,0.684,,,,,500,342,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 4 of 10; chance 0.10; checkpoint step 28000; held-out column = (N=10, step=4) across all K -- an (N,step) pair, not a (K,N) cell"
06_from_scratch,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,4,10,IVQ,ordinal,9,0.766,,,,,500,383,,,,,held_out,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/joint_knstep.json,"query step 9 of 10; chance 0.10; checkpoint step 28000; held-out column = (N=10, step=9) across all K -- an (N,step) pair, not a (K,N) cell"
