model,model_family,variant,schedule,ckpt_step,split,breakdown,bucket,accuracy,n_trials,n_correct,provenance_tier,source_file,notes
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,overall,,0.8004901960784314,40800,32660,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_role,first,0.9090277777777778,7200,6545,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_role,last,0.86125,7200,6201,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_role,intermediate,0.7543181818181818,26400,19914,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_step,2,0.8969444444444444,3600,3229,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_step,3,0.8618333333333333,6000,5171,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_step,4,0.9391666666666667,2400,2254,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_step,5,0.7283333333333334,3600,2622,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_step,6,0.6475,2400,1554,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_step,7,0.6686111111111112,3600,2407,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_step,8,0.5908333333333333,1200,709,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
gpt2-small,GPT-2,scratch_cosine,cosine,28000,train,by_step,9,0.5575,1200,669,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/final_eval.json,chance 0.10
