model,model_family,variant,schedule,train_step,lr,train_loss,condition,role,accuracy,n_trials,n_correct,provenance_tier,source_file,notes
gpt2-small,GPT-2,scratch_cosine,cosine,1000,0.0005997534002026165,1.0108766924962402,ALL,,0.21088235294117647,10200,2151,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step1000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,1000,0.0005997534002026165,1.0108766924962402,FVQ,first,0.2611111111111111,1800,470,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step1000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,1000,0.0005997534002026165,1.0108766924962402,CVQ,last,0.26722222222222225,1800,481,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step1000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,1000,0.0005997534002026165,1.0108766924962402,IVQ,intermediate,0.18181818181818182,6600,1200,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step1000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,2000,0.0005969843230807846,0.9988549011573196,ALL,,0.21794117647058822,10200,2223,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step2000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,2000,0.0005969843230807846,0.9988549011573196,FVQ,first,0.26611111111111113,1800,479,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step2000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,2000,0.0005969843230807846,0.9988549011573196,CVQ,last,0.26944444444444443,1800,485,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step2000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,2000,0.0005969843230807846,0.9988549011573196,IVQ,intermediate,0.19075757575757576,6600,1259,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step2000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,3000,0.0005911696130205379,1.0002513545006513,ALL,,0.22441176470588237,10200,2289,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step3000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,3000,0.0005911696130205379,1.0002513545006513,FVQ,first,0.2816666666666667,1800,507,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step3000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,3000,0.0005911696130205379,1.0002513545006513,CVQ,last,0.28055555555555556,1800,505,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step3000.json,chance 0.10; lr/loss from train_log.json
