theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,FVQ,semantic,first,0.9659,,0.9199,1.0,0.0461,88,85,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,IVQ,ordinal,2,0.8594,,0.8097,0.9091,0.0497,192,165,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,IVQ,ordinal,3,0.9375,,0.8889,0.9861,0.0486,112,105,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,IVQ,ordinal,4,0.881,,0.8311,0.9308,0.0499,168,148,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,IVQ,ordinal,5,0.83,,0.7777,0.8823,0.0523,200,166,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,IVQ,ordinal,6,0.745,,0.6848,0.8052,0.0602,200,149,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,IVQ,ordinal,7,0.77,,0.7118,0.8282,0.0582,200,154,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,IVQ,ordinal,8,0.76,,0.701,0.819,0.059,200,152,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,cot_thinking,museum_m0,narrative_m0,5,10,IVQ,ordinal,9,0.85,,0.8001,0.8999,0.0499,200,170,,,,,,raw,experiments_cloud/results/museum_cot/claude-haiku-4-5-20251001__cot_thinking/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True; thinking_budget=3000
