theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,FVQ,semantic,first,0.9097,,0.8612,0.9583,0.0486,144,131,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,FVQ,ordinal,1,0.82,,0.7666,0.8734,0.0534,200,164,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,IVQ,ordinal,2,0.555,,0.4868,0.6232,0.0682,200,111,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,IVQ,ordinal,3,0.44,,0.3718,0.5082,0.0682,200,88,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,IVQ,ordinal,4,0.265,,0.2041,0.3259,0.0609,200,53,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,IVQ,ordinal,5,0.18,,0.1266,0.2334,0.0534,200,36,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,IVQ,ordinal,6,0.17,,0.1177,0.2223,0.0523,200,34,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,IVQ,ordinal,7,0.155,,0.1045,0.2055,0.0505,200,31,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,IVQ,ordinal,8,0.125,,0.0765,0.1735,0.0485,184,23,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,IVQ,ordinal,9,0.26,,0.1994,0.3206,0.0606,200,52,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,CVQ,ordinal,10,0.755,,0.6956,0.8144,0.0594,200,151,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,10,CVQ,semantic,last,0.715,,0.6528,0.7772,0.0622,200,143,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,FVQ,semantic,first,0.745,,0.6848,0.8052,0.0602,200,149,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,FVQ,ordinal,1,0.51,,0.4414,0.5786,0.0686,200,102,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,2,0.2261,,0.1681,0.2842,0.058,199,45,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=1; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,3,0.19,,0.1355,0.2445,0.0545,200,38,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,4,0.14,,0.0914,0.1886,0.0486,200,28,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,5,0.0993,,0.0502,0.1485,0.0491,151,15,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=1; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,6,0.0667,,0.0189,0.1145,0.0478,120,8,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,7,0.0,,0.0,0.0447,0.0447,56,0,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,8,0.0341,,0.0,0.0801,0.0461,88,3,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,10,0.0,,0.0,0.0447,0.0447,56,0,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,11,0.0,,0.0,0.0454,0.0454,55,0,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=1; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,13,0.0,,0.0,0.0447,0.0447,56,0,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
08_museum_naturalistic,claude-4.5-opus,Claude-4.5,True,nocot,museum_m0,narrative_m0,5,20,IVQ,ordinal,14,0.0,,0.0,0.0447,0.0447,56,0,,,,,,raw,experiments_cloud/results/museum_cot/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=museum_cot_v1; cache=True
