theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,5,CVQ,semantic,last,0.7639,,0.6944,0.8264,,144,110,4,0.7857,"{""correct"": 110, ""garbage"": 4, ""intermediate_intrusion"": 27, ""primacy_intrusion"": 3}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=144; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,5,FVQ,semantic,first,0.7986,,0.7359,0.8611,,144,115,0,0.7986,"{""correct"": 115, ""intermediate_intrusion"": 28, ""recency_intrusion"": 1}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=144; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,10,CVQ,semantic,last,0.8083,,0.7417,0.875,,120,97,0,0.8083,"{""correct"": 97, ""intermediate_intrusion"": 23}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=120; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,10,FVQ,semantic,first,0.8833,,0.825,0.9417,,120,106,0,0.8833,"{""correct"": 106, ""intermediate_intrusion"": 14}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=120; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,15,CVQ,semantic,last,0.8519,,0.787,0.9167,,108,92,0,0.8519,"{""correct"": 92, ""intermediate_intrusion"": 16}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=108; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,15,FVQ,semantic,first,0.8704,,0.8056,0.9352,,108,94,0,0.8704,"{""correct"": 94, ""intermediate_intrusion"": 14}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=108; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,20,CVQ,semantic,last,0.9048,,0.8333,0.9643,,84,76,0,0.9048,"{""correct"": 76, ""intermediate_intrusion"": 8}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=84; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,20,FVQ,semantic,first,0.9286,,0.869,0.9762,,84,78,0,0.9286,"{""correct"": 78, ""intermediate_intrusion"": 6}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=84; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,30,CVQ,semantic,last,0.8611,,0.7963,0.9167,,108,93,0,0.8611,"{""correct"": 93, ""intermediate_intrusion"": 15}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=108; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,30,FVQ,semantic,first,0.9167,,0.8611,0.963,,108,99,0,0.9167,"{""correct"": 99, ""intermediate_intrusion"": 9}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=108; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,50,CVQ,semantic,last,0.8083,,0.7333,0.875,,120,97,0,0.8083,"{""correct"": 97, ""intermediate_intrusion"": 23}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=120; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,1,50,FVQ,semantic,first,0.875,,0.8167,0.9333,,120,105,0,0.875,"{""correct"": 105, ""intermediate_intrusion"": 15}",A,,raw,experiments_cloud/results/museum_endpoint/claude-haiku/sweep_20260722_161853.json,stopped_early=True; n_observations=120; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
