theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,FVQ,semantic,first,0.81,,0.7555,0.8645,0.0545,200,162,0,0.81,"{""correct"": 162, ""garbage"": 0, ""in_context"": 1, ""in_sequence"": 37}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,FVQ,ordinal,1,0.8,,0.7445,0.8555,0.0555,200,160,0,0.8,"{""correct"": 160, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 40}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,IVQ,ordinal,2,0.525,,0.4564,0.5936,0.0686,200,105,0,0.525,"{""correct"": 105, ""garbage"": 0, ""in_context"": 1, ""in_sequence"": 94}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,IVQ,ordinal,3,0.245,,0.1856,0.3044,0.0594,200,49,0,0.245,"{""correct"": 49, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 151}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,IVQ,ordinal,4,0.215,,0.1581,0.2719,0.0569,200,43,0,0.215,"{""correct"": 43, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 157}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,IVQ,ordinal,5,0.19,,0.1355,0.2445,0.0545,200,38,0,0.19,"{""correct"": 38, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 162}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,IVQ,ordinal,6,0.135,,0.0871,0.1829,0.0479,200,27,0,0.135,"{""correct"": 27, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 173}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,IVQ,ordinal,7,0.155,,0.1045,0.2055,0.0505,200,31,0,0.155,"{""correct"": 31, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 169}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,IVQ,ordinal,8,0.14,,0.0914,0.1886,0.0486,200,28,0,0.14,"{""correct"": 28, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 172}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,IVQ,ordinal,9,0.105,,0.0616,0.1484,0.0434,200,21,0,0.105,"{""correct"": 21, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 179}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,CVQ,ordinal,10,0.085,,0.0452,0.1248,0.0398,200,17,0,0.085,"{""correct"": 17, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 183}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,10,CVQ,semantic,last,0.605,,0.5378,0.6722,0.0672,200,121,0,0.605,"{""correct"": 121, ""garbage"": 0, ""in_context"": 2, ""in_sequence"": 77}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,FVQ,semantic,first,0.78,,0.7226,0.8374,0.0574,200,156,0,0.78,"{""correct"": 156, ""garbage"": 0, ""in_context"": 1, ""in_sequence"": 43}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,FVQ,ordinal,1,0.795,,0.739,0.851,0.056,200,159,0,0.795,"{""correct"": 159, ""garbage"": 0, ""in_context"": 3, ""in_sequence"": 38}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,2,0.44,,0.3718,0.5082,0.0682,200,88,0,0.44,"{""correct"": 88, ""garbage"": 0, ""in_context"": 4, ""in_sequence"": 108}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,3,0.315,,0.251,0.379,0.064,200,63,0,0.315,"{""correct"": 63, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 137}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,4,0.17,,0.1177,0.2223,0.0523,200,34,0,0.17,"{""correct"": 34, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 166}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,5,0.155,,0.1045,0.2055,0.0505,200,31,0,0.155,"{""correct"": 31, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 169}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,6,0.14,,0.0914,0.1886,0.0486,200,28,0,0.14,"{""correct"": 28, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 172}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,7,0.06,,0.0254,0.0946,0.0346,200,12,0,0.06,"{""correct"": 12, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 188}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,8,0.04,,0.0105,0.0695,0.0295,200,8,0,0.04,"{""correct"": 8, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 192}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,10,0.025,,0.0001,0.0499,0.0249,200,5,0,0.025,"{""correct"": 5, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 195}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,11,0.02,,0.0,0.0431,0.0231,200,4,0,0.02,"{""correct"": 4, ""garbage"": 0, ""in_context"": 2, ""in_sequence"": 194}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,13,0.03,,0.0035,0.0565,0.0265,200,6,0,0.03,"{""correct"": 6, ""garbage"": 0, ""in_context"": 2, ""in_sequence"": 192}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,14,0.035,,0.0069,0.0631,0.0281,200,7,0,0.035,"{""correct"": 7, ""garbage"": 0, ""in_context"": 1, ""in_sequence"": 192}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,16,0.035,,0.0069,0.0631,0.0281,200,7,0,0.035,"{""correct"": 7, ""garbage"": 0, ""in_context"": 0, ""in_sequence"": 193}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,17,0.025,,0.0001,0.0499,0.0249,200,5,0,0.025,"{""correct"": 5, ""garbage"": 0, ""in_context"": 1, ""in_sequence"": 194}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,IVQ,ordinal,19,0.045,,0.0141,0.0759,0.0309,200,9,0,0.045,"{""correct"": 9, ""garbage"": 0, ""in_context"": 1, ""in_sequence"": 190}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,CVQ,ordinal,20,0.01,,0.0,0.0289,0.0189,200,2,0,0.01,"{""correct"": 2, ""garbage"": 0, ""in_context"": 1, ""in_sequence"": 197}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,20,CVQ,semantic,last,0.475,,0.4064,0.5436,0.0686,200,95,0,0.475,"{""correct"": 95, ""garbage"": 0, ""in_context"": 24, ""in_sequence"": 81}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
08_museum_naturalistic,claude-4.5-haiku,Claude-4.5,True,base,museum_m0,narrative_m0,5,50,FVQ,semantic,first,0.775,,0.7172,0.8328,0.0578,200,155,0,0.775,"{""correct"": 155, ""garbage"": 0, ""in_context"": 1, ""in_sequence"": 44}",,,raw,legacy/results/museum_ivq/claude-haiku/ivq_full_20260722_173410_summary.json,model_id=claude-haiku-4-5-20251001; comparator=plain flat_nolabel in ucurve_proprietary_results.csv; seed_formula uses PYTHONHASHSEED-salted hash(); stimuli not re-derivable
