model,arm,num_keys,num_updates,position,position_kind,n_correct,n_trials,accuracy,wilson_lo,wilson_hi
haiku,nocot,5,10,10,ordinal,2,72,0.0278,0.0077,0.0957
haiku,nocot,5,10,8,ordinal,2,72,0.0278,0.0077,0.0957
haiku,nocot,5,10,6,ordinal,20,168,0.1190,0.0784,0.1767
haiku,nocot,5,10,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,5,10,9,ordinal,8,120,0.0667,0.0342,0.1261
haiku,nocot,5,10,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,5,10,last,recency,150,168,0.8929,0.8370,0.9311
haiku,nocot,5,10,3,ordinal,172,200,0.8600,0.8051,0.9013
haiku,nocot,5,10,4,ordinal,107,200,0.5350,0.4659,0.6028
haiku,nocot,5,10,5,ordinal,20,168,0.1190,0.0784,0.1767
haiku,nocot,5,10,7,ordinal,7,112,0.0625,0.0306,0.1234
haiku,nocot,10,10,3,ordinal,160,200,0.8000,0.7391,0.8495
haiku,nocot,10,10,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,10,10,8,ordinal,8,120,0.0667,0.0342,0.1261
haiku,nocot,10,10,4,ordinal,76,200,0.3800,0.3156,0.4489
haiku,nocot,10,10,9,ordinal,5,96,0.0521,0.0224,0.1162
haiku,nocot,10,10,5,ordinal,25,192,0.1302,0.0898,0.1852
haiku,nocot,10,10,7,ordinal,9,120,0.0750,0.0400,0.1364
haiku,nocot,10,10,6,ordinal,10,128,0.0781,0.0430,0.1378
haiku,nocot,10,10,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,10,10,10,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,10,10,last,recency,168,200,0.8400,0.7829,0.8843
haiku,nocot,5,20,6,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,5,20,14,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,5,20,16,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,5,20,13,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,20,20,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,20,last,recency,160,200,0.8000,0.7391,0.8495
haiku,nocot,5,20,7,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,20,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,5,20,11,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,20,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,5,20,3,ordinal,145,200,0.7250,0.6593,0.7822
haiku,nocot,5,20,5,ordinal,2,72,0.0278,0.0077,0.0957
haiku,nocot,5,20,4,ordinal,66,200,0.3300,0.2686,0.3978
haiku,nocot,5,20,8,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,5,20,10,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,20,17,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,20,19,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,20,7,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,20,11,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,20,5,ordinal,5,96,0.0521,0.0224,0.1162
haiku,nocot,10,20,10,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,10,20,8,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,10,20,3,ordinal,139,200,0.6950,0.6280,0.7546
haiku,nocot,10,20,16,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,20,6,ordinal,5,96,0.0521,0.0224,0.1162
haiku,nocot,10,20,13,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,20,17,ordinal,2,72,0.0278,0.0077,0.0957
haiku,nocot,10,20,4,ordinal,62,200,0.3100,0.2500,0.3772
haiku,nocot,10,20,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,10,20,20,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,20,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,10,20,last,recency,128,200,0.6400,0.5714,0.7033
haiku,nocot,10,20,14,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,10,20,19,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,last,recency,132,200,0.6600,0.5919,0.7221
haiku,nocot,5,50,6,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,50,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,5,50,3,ordinal,138,200,0.6900,0.6228,0.7500
haiku,nocot,5,50,2,ordinal,63,64,0.9844,0.9167,0.9972
haiku,nocot,5,50,5,ordinal,3,88,0.0341,0.0117,0.0955
haiku,nocot,5,50,4,ordinal,60,200,0.3000,0.2407,0.3668
haiku,nocot,5,50,7,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,14,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,20,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,8,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,31,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,26,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,37,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,43,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,5,50,49,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,5,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,10,50,4,ordinal,53,200,0.2650,0.2087,0.3302
haiku,nocot,10,50,37,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,14,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,20,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,26,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,7,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,10,50,50,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,10,50,6,ordinal,1,64,0.0156,0.0028,0.0833
haiku,nocot,10,50,31,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,last,recency,114,200,0.5700,0.5007,0.6367
haiku,nocot,10,50,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,nocot,10,50,3,ordinal,129,200,0.6450,0.5765,0.7080
haiku,nocot,10,50,8,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,49,ordinal,0,56,0.0000,0.0000,0.0642
haiku,nocot,10,50,43,ordinal,0,56,0.0000,0.0000,0.0642
haiku,cot_thinking,5,10,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,10,6,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,10,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,10,last,recency,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,10,3,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,10,7,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,5,10,9,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,10,4,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,10,10,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,10,5,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,10,8,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,10,5,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,10,10,7,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,10,10,8,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,10,10,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,10,10,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,10,6,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,10,10,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,10,9,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,10,last,recency,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,10,3,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,10,4,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,20,10,ordinal,85,88,0.9659,0.9045,0.9883
haiku,cot_thinking,5,20,6,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,13,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,5,20,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,3,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,16,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,20,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,last,recency,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,20,8,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,4,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,17,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,20,19,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,5,20,5,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,20,7,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,20,11,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,20,14,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,10,20,5,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,10,20,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,20,10,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,10,20,8,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,10,20,17,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,10,20,4,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,20,16,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,10,20,3,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,20,6,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,10,20,19,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,20,14,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,10,20,11,ordinal,91,96,0.9479,0.8838,0.9776
haiku,cot_thinking,10,20,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,20,13,ordinal,85,88,0.9659,0.9045,0.9883
haiku,cot_thinking,10,20,7,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,10,20,last,recency,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,10,20,20,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,5,50,7,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,50,6,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,50,8,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,50,1,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,50,20,ordinal,92,96,0.9583,0.8977,0.9837
haiku,cot_thinking,5,50,2,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,50,3,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,50,5,ordinal,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,50,14,ordinal,63,64,0.9844,0.9167,0.9972
haiku,cot_thinking,5,50,37,ordinal,98,104,0.9423,0.8798,0.9733
haiku,cot_thinking,5,50,31,ordinal,111,120,0.9250,0.8636,0.9600
haiku,cot_thinking,5,50,43,ordinal,91,96,0.9479,0.8838,0.9776
haiku,cot_thinking,5,50,last,recency,56,56,1.0000,0.9358,1.0000
haiku,cot_thinking,5,50,26,ordinal,70,72,0.9722,0.9043,0.9923
haiku,cot_thinking,5,50,50,ordinal,92,96,0.9583,0.8977,0.9837
