num_keys,num_updates,position,position_kind,n_correct,n_trials,accuracy,wilson_lo,wilson_hi
5,50,1,ordinal,56,56,1.0000,0.9358,1.0000
5,50,3,ordinal,56,56,1.0000,0.9358,1.0000
5,50,5,ordinal,63,64,0.9844,0.9167,0.9972
5,50,6,ordinal,70,72,0.9722,0.9043,0.9923
5,50,14,ordinal,70,72,0.9722,0.9043,0.9923
5,50,8,ordinal,56,56,1.0000,0.9358,1.0000
5,50,20,ordinal,56,56,1.0000,0.9358,1.0000
5,50,7,ordinal,63,64,0.9844,0.9167,0.9972
5,50,26,ordinal,56,56,1.0000,0.9358,1.0000
5,50,2,ordinal,56,56,1.0000,0.9358,1.0000
5,50,43,ordinal,56,56,1.0000,0.9358,1.0000
5,50,31,ordinal,56,56,1.0000,0.9358,1.0000
5,50,37,ordinal,70,72,0.9722,0.9043,0.9923
5,50,4,ordinal,56,56,1.0000,0.9358,1.0000
5,50,49,ordinal,98,104,0.9423,0.8798,0.9733
5,50,last,recency,63,64,0.9844,0.9167,0.9972
5,50,50,ordinal,63,64,0.9844,0.9167,0.9972
5,100,1,ordinal,56,56,1.0000,0.9358,1.0000
5,100,7,ordinal,63,64,0.9844,0.9167,0.9972
5,100,5,ordinal,56,56,1.0000,0.9358,1.0000
5,100,4,ordinal,56,56,1.0000,0.9358,1.0000
5,100,8,ordinal,85,88,0.9659,0.9045,0.9883
5,100,6,ordinal,63,64,0.9844,0.9167,0.9972
5,100,3,ordinal,56,56,1.0000,0.9358,1.0000
5,100,last,recency,97,104,0.9327,0.8675,0.9670
5,100,21,ordinal,118,128,0.9219,0.8622,0.9570
5,100,34,ordinal,169,200,0.8450,0.7884,0.8886
5,100,47,ordinal,152,200,0.7600,0.6963,0.8139
5,100,60,ordinal,156,200,0.7800,0.7176,0.8318
5,100,73,ordinal,146,200,0.7300,0.6646,0.7868
5,100,2,ordinal,56,56,1.0000,0.9358,1.0000
5,100,100,ordinal,148,168,0.8810,0.8233,0.9216
