num_keys,num_updates,position,position_kind,n_correct,n_trials,accuracy,wilson_lo,wilson_hi
5,50,1,ordinal,56,56,1.0000,0.9358,1.0000
5,50,3,ordinal,56,56,1.0000,0.9358,1.0000
5,50,4,ordinal,63,64,0.9844,0.9167,0.9972
5,50,20,ordinal,56,56,1.0000,0.9358,1.0000
5,50,37,ordinal,56,56,1.0000,0.9358,1.0000
5,50,6,ordinal,56,56,1.0000,0.9358,1.0000
5,50,5,ordinal,56,56,1.0000,0.9358,1.0000
5,50,last,recency,56,56,1.0000,0.9358,1.0000
5,50,14,ordinal,56,56,1.0000,0.9358,1.0000
5,50,2,ordinal,56,56,1.0000,0.9358,1.0000
5,50,31,ordinal,56,56,1.0000,0.9358,1.0000
5,50,7,ordinal,56,56,1.0000,0.9358,1.0000
5,50,8,ordinal,56,56,1.0000,0.9358,1.0000
5,50,26,ordinal,56,56,1.0000,0.9358,1.0000
5,50,50,ordinal,56,56,1.0000,0.9358,1.0000
5,50,49,ordinal,56,56,1.0000,0.9358,1.0000
5,50,43,ordinal,63,64,0.9844,0.9167,0.9972
5,100,1,ordinal,56,56,1.0000,0.9358,1.0000
5,100,3,ordinal,56,56,1.0000,0.9358,1.0000
5,100,5,ordinal,56,56,1.0000,0.9358,1.0000
5,100,4,ordinal,56,56,1.0000,0.9358,1.0000
5,100,6,ordinal,56,56,1.0000,0.9358,1.0000
5,100,2,ordinal,56,56,1.0000,0.9358,1.0000
5,100,8,ordinal,56,56,1.0000,0.9358,1.0000
5,100,21,ordinal,56,56,1.0000,0.9358,1.0000
5,100,34,ordinal,56,56,1.0000,0.9358,1.0000
5,100,7,ordinal,63,64,0.9844,0.9167,0.9972
5,100,60,ordinal,63,64,0.9844,0.9167,0.9972
5,100,last,recency,56,56,1.0000,0.9358,1.0000
5,100,47,ordinal,63,64,0.9844,0.9167,0.9972
5,100,100,ordinal,56,56,1.0000,0.9358,1.0000
5,100,73,ordinal,63,64,0.9844,0.9167,0.9972
