num_keys,num_updates,position,position_kind,n_correct,n_trials,accuracy,wilson_lo,wilson_hi
5,50,1,ordinal,56,56,1.0000,0.9358,1.0000
5,50,last,recency,56,56,1.0000,0.9358,1.0000
5,50,4,ordinal,56,56,1.0000,0.9358,1.0000
5,50,6,ordinal,56,56,1.0000,0.9358,1.0000
5,50,8,ordinal,56,56,1.0000,0.9358,1.0000
5,50,7,ordinal,56,56,1.0000,0.9358,1.0000
5,50,14,ordinal,70,72,0.9722,0.9043,0.9923
5,50,5,ordinal,56,56,1.0000,0.9358,1.0000
5,50,2,ordinal,56,56,1.0000,0.9358,1.0000
5,50,20,ordinal,56,56,1.0000,0.9358,1.0000
5,50,26,ordinal,56,56,1.0000,0.9358,1.0000
5,50,31,ordinal,56,56,1.0000,0.9358,1.0000
5,50,37,ordinal,63,64,0.9844,0.9167,0.9972
5,50,3,ordinal,56,56,1.0000,0.9358,1.0000
5,50,43,ordinal,56,56,1.0000,0.9358,1.0000
5,50,49,ordinal,63,64,0.9844,0.9167,0.9972
5,50,50,ordinal,56,56,1.0000,0.9358,1.0000
5,100,1,ordinal,56,56,1.0000,0.9358,1.0000
5,100,6,ordinal,63,64,0.9844,0.9167,0.9972
5,100,8,ordinal,70,72,0.9722,0.9043,0.9923
5,100,3,ordinal,56,56,1.0000,0.9358,1.0000
5,100,4,ordinal,56,56,1.0000,0.9358,1.0000
5,100,5,ordinal,56,56,1.0000,0.9358,1.0000
5,100,7,ordinal,63,64,0.9844,0.9167,0.9972
5,100,2,ordinal,56,56,1.0000,0.9358,1.0000
5,100,21,ordinal,85,88,0.9659,0.9045,0.9883
5,100,34,ordinal,63,64,0.9844,0.9167,0.9972
5,100,last,recency,90,96,0.9375,0.8703,0.9710
5,100,60,ordinal,56,56,1.0000,0.9358,1.0000
5,100,47,ordinal,56,56,1.0000,0.9358,1.0000
5,100,73,ordinal,56,56,1.0000,0.9358,1.0000
5,100,86,ordinal,63,64,0.9844,0.9167,0.9972
5,100,99,ordinal,63,64,0.9844,0.9167,0.9972
5,100,100,ordinal,56,56,1.0000,0.9358,1.0000
5,200,1,ordinal,56,56,1.0000,0.9358,1.0000
5,200,8,ordinal,85,88,0.9659,0.9045,0.9883
5,200,7,ordinal,70,72,0.9722,0.9043,0.9923
5,200,5,ordinal,63,64,0.9844,0.9167,0.9972
5,200,4,ordinal,63,64,0.9844,0.9167,0.9972
5,200,6,ordinal,85,88,0.9659,0.9045,0.9883
5,200,2,ordinal,56,56,1.0000,0.9358,1.0000
5,200,3,ordinal,56,56,1.0000,0.9358,1.0000
5,200,last,recency,107,120,0.8917,0.8234,0.9356
5,200,35,ordinal,56,56,1.0000,0.9358,1.0000
5,200,63,ordinal,56,56,1.0000,0.9358,1.0000
5,200,90,ordinal,63,64,0.9844,0.9167,0.9972
5,200,117,ordinal,105,112,0.9375,0.8766,0.9694
5,200,144,ordinal,112,120,0.9333,0.8739,0.9658
5,200,172,ordinal,166,192,0.8646,0.8090,0.9059
5,200,199,ordinal,171,200,0.8550,0.7995,0.8971
5,200,200,ordinal,91,96,0.9479,0.8838,0.9776
5,300,1,ordinal,56,56,1.0000,0.9358,1.0000
5,300,7,ordinal,70,72,0.9722,0.9043,0.9923
5,300,3,ordinal,56,56,1.0000,0.9358,1.0000
5,300,4,ordinal,56,56,1.0000,0.9358,1.0000
5,300,6,ordinal,63,64,0.9844,0.9167,0.9972
5,300,8,ordinal,63,64,0.9844,0.9167,0.9972
5,300,2,ordinal,56,56,1.0000,0.9358,1.0000
5,300,5,ordinal,56,56,1.0000,0.9358,1.0000
5,300,last,recency,55,56,0.9821,0.9055,0.9968
5,300,50,ordinal,70,72,0.9722,0.9043,0.9923
5,300,91,ordinal,165,192,0.8594,0.8031,0.9015
5,300,133,ordinal,142,200,0.7100,0.6436,0.7685
5,300,174,ordinal,137,200,0.6850,0.6176,0.7454
5,300,216,ordinal,113,200,0.5650,0.4957,0.6318
