
=== Entropy-Lens: model=scratch device=cuda:0 grid=30 cells x 5 conditions x 150 trials ===
Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 14062.41it/s]
Loaded scratch GPT-2 from hf:kanak8278/gpt2-small-synthetic-kv-interference
  K2_N4: mean acc 1.00  (3s elapsed)
  K2_N6: mean acc 1.00  (6s elapsed)
  K2_N8: mean acc 0.83  (9s elapsed)
  K2_N10: mean acc 1.00  (12s elapsed)
  K2_N12: mean acc 1.00  (15s elapsed)
  K4_N4: mean acc 1.00  (17s elapsed)
  K4_N6: mean acc 1.00  (20s elapsed)
  K4_N8: mean acc 0.96  (23s elapsed)
  K4_N10: mean acc 0.98  (26s elapsed)
  K4_N12: mean acc 0.95  (29s elapsed)
  K6_N4: mean acc 0.99  (32s elapsed)
  K6_N6: mean acc 0.99  (35s elapsed)
  K6_N8: mean acc 0.92  (38s elapsed)
  K6_N10: mean acc 0.93  (41s elapsed)
  K6_N12: mean acc 0.87  (45s elapsed)
  K8_N4: mean acc 0.99  (48s elapsed)
  K8_N6: mean acc 0.98  (51s elapsed)
  K8_N8: mean acc 0.89  (54s elapsed)
  K8_N10: mean acc 0.83  (58s elapsed)
  K8_N12: mean acc 0.77  (62s elapsed)
  K10_N4: mean acc 0.98  (65s elapsed)
  K10_N6: mean acc 0.96  (68s elapsed)
  K10_N8: mean acc 0.83  (72s elapsed)
  K10_N10: mean acc 0.20  (76s elapsed)
  K10_N12: mean acc 0.19  (80s elapsed)
  K12_N4: mean acc 0.96  (83s elapsed)
  K12_N6: mean acc 0.89  (86s elapsed)
  K12_N8: mean acc 0.78  (90s elapsed)
  K12_N10: mean acc 0.19  (94s elapsed)
  K12_N12: mean acc 0.17  (99s elapsed)
Saved: /rnd_ai_datasets1/projects/raka6003/transformer-memory-interference/lora_intervention/experiments/entropy_lens/results/entropy_scratch.json  (elapsed 99s)
