state,K,N,condition,layer,correctness_cv_auc,retrieval_all_auc,retrieval_wrong_auc,retrieval_correct_auc,behavioral_acc,n_trials,n_all,n_wrong,n_correct
base,10,20,FVQ,0,0.6216087962962964,0.4375,0.6094135802469136,0.5535625,0.6417,120,120,43,77
base,10,20,FVQ,1,0.6667824074074075,0.44340277777777787,0.5529706790123456,0.5088194444444445,0.6417,120,120,43,77
base,10,20,FVQ,2,0.6677777777777778,0.4229166666666667,0.6194444444444445,0.5726319444444445,0.6417,120,120,43,77
base,10,20,FVQ,3,0.6414351851851852,0.45972222222222225,0.5685956790123458,0.5246631944444445,0.6417,120,120,43,77
base,10,20,FVQ,4,0.5894444444444444,0.44201388888888893,0.5934413580246913,0.5250104166666666,0.6417,120,120,43,77
base,10,20,FVQ,5,0.5590046296296297,0.4708333333333333,0.5536265432098766,0.4385902777777778,0.6417,120,120,43,77
base,10,20,FVQ,6,0.6356944444444445,0.46944444444444444,0.5760030864197531,0.47929513888888897,0.6417,120,120,43,77
base,10,20,FVQ,7,0.6407060185185186,0.4607638888888889,0.5848765432098766,0.500763888888889,0.6417,120,120,43,77
base,10,20,FVQ,8,0.7145138888888889,0.4677083333333334,0.5705632716049382,0.5508645833333334,0.6417,120,120,43,77
base,10,20,FVQ,9,0.7008564814814815,0.46215277777777775,0.5755015432098765,0.4676597222222222,0.6417,120,120,43,77
base,10,20,FVQ,10,0.708587962962963,0.5305555555555556,0.6163194444444444,0.5345729166666666,0.6417,120,120,43,77
base,10,20,FVQ,11,0.7223263888888889,0.4847222222222222,0.5722222222222222,0.5289409722222222,0.6417,120,120,43,77
base,10,20,FVQ,12,0.7063541666666666,0.4215277777777778,0.5376543209876543,0.4835000000000001,0.6417,120,120,43,77
base,10,20,FVQ,13,0.6792013888888889,0.4253472222222222,0.5179012345679013,0.4883993055555556,0.6417,120,120,43,77
base,10,20,FVQ,14,0.6696643518518519,0.5253472222222222,0.5606867283950617,0.5365381944444445,0.6417,120,120,43,77
base,10,20,FVQ,15,0.6876851851851852,0.42777777777777776,0.5526234567901234,0.52234375,0.6417,120,120,43,77
base,10,20,FVQ,16,0.7151620370370371,0.43506944444444445,0.5144290123456791,0.5504131944444445,0.6417,120,120,43,77
