====================================================================================================
Attention routing comparison — condition=expA_CVQ
  baseline file: v3/results_vllm/attention_routing/gemma-3-4b-it-baseline-hf__normal.json
  lora file:     v3/results_vllm/attention_routing/gemma-3-4b-it-LoRA__normal.json
  baseline n trials: 50, lora n trials: 50
  bootstrap n=2000, seed=17
====================================================================================================

Top-15 promoter heads (by Δ = lora − baseline mean P(attend last round))

      Head           base [95% CI]           lora [95% CI]              Δ [95% CI]
----------------------------------------------------------------------------------------------------
  L21H0   0.336 [0.298, 0.376]   0.831 [0.792, 0.866]   +0.495 [+0.438, +0.547]
  L20H3   0.235 [0.200, 0.275]   0.710 [0.681, 0.738]   +0.474 [+0.426, +0.524]
  L25H0   0.504 [0.404, 0.601]   0.974 [0.964, 0.982]   +0.469 [+0.368, +0.573]
  L14H4   0.098 [0.084, 0.113]   0.545 [0.524, 0.565]   +0.448 [+0.421, +0.473]
  L23H6   0.257 [0.213, 0.302]   0.659 [0.626, 0.691]   +0.402 [+0.345, +0.460]
  L19H5   0.145 [0.118, 0.175]   0.538 [0.492, 0.582]   +0.393 [+0.339, +0.447]
  L26H5   0.297 [0.254, 0.340]   0.688 [0.638, 0.731]   +0.391 [+0.328, +0.455]
  L25H1   0.122 [0.096, 0.150]   0.504 [0.453, 0.554]   +0.382 [+0.325, +0.438]
  L32H1   0.299 [0.237, 0.366]   0.661 [0.591, 0.721]   +0.362 [+0.268, +0.454]
  L27H6   0.381 [0.325, 0.437]   0.737 [0.708, 0.764]   +0.356 [+0.294, +0.420]
  L20H1   0.250 [0.221, 0.279]   0.606 [0.573, 0.638]   +0.356 [+0.312, +0.399]
  L25H4   0.195 [0.161, 0.233]   0.550 [0.506, 0.595]   +0.356 [+0.297, +0.409]
  L24H6   0.220 [0.186, 0.253]   0.572 [0.534, 0.610]   +0.352 [+0.299, +0.400]
  L18H0   0.272 [0.241, 0.305]   0.609 [0.583, 0.634]   +0.337 [+0.296, +0.375]
  L14H0   0.297 [0.273, 0.321]   0.627 [0.610, 0.644]   +0.330 [+0.301, +0.358]

────────────────────────────────────────────────────────────────────────────────────────────────────
Per-layer mean P(attend last round) — change averaged over all heads
────────────────────────────────────────────────────────────────────────────────────────────────────
Layer     base     lora          Δ
  L7    0.195    0.273    +0.077
  L8    0.086    0.148    +0.062
  L12   0.058    0.148    +0.090
  L13   0.087    0.208    +0.121
  L14   0.150    0.357    +0.207
  L15   0.049    0.161    +0.112
  L16   0.123    0.246    +0.123
  L17   0.010    0.081    +0.071
  L18   0.254    0.449    +0.195
  L19   0.150    0.351    +0.201
  L20   0.268    0.529    +0.261
  L21   0.335    0.555    +0.220
  L22   0.208    0.339    +0.131
  L23   0.220    0.428    +0.207
  L24   0.165    0.344    +0.178
  L25   0.235    0.540    +0.305
  L26   0.221    0.415    +0.194
  L27   0.222    0.346    +0.124
  L28   0.282    0.407    +0.125
  L29   0.136    0.283    +0.147
  L30   0.221    0.456    +0.235
  L31   0.143    0.267    +0.124
  L32   0.238    0.377    +0.139
  L33   0.181    0.243    +0.062
