model_short,model_full,num_keys,num_updates,n_trials,regime,RI_acc,RI_ci_lower,RI_ci_upper,RI_n_failures,RI_n_garbage,PI_acc,PI_ci_lower,PI_ci_upper,PI_n_failures,PI_n_garbage,gap_PI_minus_RI
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,5,100,C,0.74,0.66,0.82,26,21,0.34,0.25,0.44,66,18,-0.4
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,7,100,C,0.73,0.64,0.81,27,23,0.22,0.14,0.31,78,19,-0.51
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,10,100,C,0.76,0.67,0.84,24,18,0.21,0.13,0.29,79,23,-0.55
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,15,100,C,0.87,0.8,0.93,13,12,0.17,0.1,0.25,83,30,-0.7
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,20,100,C,0.74,0.65,0.82,26,25,0.08,0.03,0.14,92,37,-0.66
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,30,100,C,0.79,0.71,0.87,21,21,0.05,0.01,0.1,95,50,-0.74
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,50,100,C,0.72,0.63,0.8,28,26,0.1,0.05,0.16,90,47,-0.62
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,75,100,C,0.65,0.56,0.74,35,33,0.02,0.0,0.05,98,57,-0.63
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2,100,100,C,0.57,0.47,0.67,43,41,0.01,0.0,0.03,99,61,-0.56
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,3,5,100,C,0.69,0.6,0.78,31,19,0.41,0.31,0.51,59,20,-0.28
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,3,7,100,C,0.71,0.62,0.8,29,23,0.27,0.18,0.36,73,17,-0.44
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,3,10,100,C,0.67,0.58,0.76,33,28,0.22,0.14,0.3,78,26,-0.45
Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,3,15,100,C,0.64,0.55,0.73,36,32,0.21,0.13,0.29,79,28,-0.43
