model,dataset,num_keys,num_updates,fvq_acc,cvq_acc,gap,fvq_ci_lower,fvq_ci_upper,cvq_ci_lower,cvq_ci_upper,n_trials,max_trials,source_file
Qwen2.5-0.5B-Instruct,arbitrary_single,2,5,0.74,0.34,0.4,0.66,0.82,0.25,0.44,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,2,7,0.73,0.22,0.51,0.64,0.81,0.14,0.31,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,2,10,0.76,0.21,0.55,0.67,0.84,0.13,0.29,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,2,15,0.87,0.17,0.7,0.8,0.93,0.1,0.25,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,2,20,0.74,0.08,0.66,0.65,0.82,0.03,0.14,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,2,30,0.79,0.05,0.74,0.71,0.87,0.01,0.1,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,2,50,0.72,0.1,0.62,0.63,0.8,0.05,0.16,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,2,75,0.65,0.02,0.63,0.56,0.74,0.0,0.05,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,2,100,0.57,0.01,0.56,0.47,0.67,0.0,0.03,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,3,5,0.69,0.41,0.28,0.6,0.78,0.31,0.51,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,3,7,0.71,0.27,0.44,0.62,0.8,0.18,0.36,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,3,10,0.67,0.22,0.45,0.58,0.76,0.14,0.3,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
Qwen2.5-0.5B-Instruct,arbitrary_single,3,15,0.64,0.21,0.43,0.55,0.73,0.13,0.29,100,100,v3/results_vllm/arbitrary_single/Qwen2.5-0.5B-Instruct/stage1_sweep_20260408_224841.json
